                                                                                                 name                                                                                                 | total_pac_donations 
 EARL RIGGS                                                                                                                                                                                           |                    
 EAST BAY YOUNG DEMOCRATS - FEDERAL                                                                                                                                                                   |                    
 EAST CONTRA COSTA UNITED DEMOCRATIC CAMPAIGN (ECCUDC)                                                                                                                                                |                    
 EASTERN WASHINGTON VOTERS                                                                                                                                                                            |                    
 EASTGATE VICTORY INC                                                                                                                                                                                 |            36835.00
 EASTMAN KODAK COMPANY EMPLOYEE POLITICAL ACTION COMMITTEE                                                                                                                                            |                    
 EASTMANPAC - POLITICAL ACTION COMMITTEE OF EASTMAN CHEMICAL COMPANY                                                                                                                                  |                    
 EASTON KELSEY FOR CONGRESS                                                                                                                                                                           |                    
 EAST ORANGE DEMOCRATIC COMMITTEE FEDERAL PAC ACCOUNT                                                                                                                                                 |                    
 EAST SAN GABRIEL VALLEY DEMOCRATIC CLUB                                                                                                                                                              |                    
 EASTSIDE DEMOCRATIC CLUB                                                                                                                                                                             |                    
 EAT'N PARK RESTAURANTS INC POLITICAL ACTION COMMITTEE                                                                                                                                                |                    
 EATON CORPORATION PUBLIC POLICY ASSOCIATION                                                                                                                                                          |                    
 EBAY INC-COMMITTEE FOR RESPONSIBLE INTERNET COMMERCE                                                                                                                                                 |                    
 EBBIN FOR CONGRESS                                                                                                                                                                                   |                    
 EBERLE, BOB AND CLAIRE                                                                                                                                                                               |                    
 ECHOSTAR CORPORATION AND DISH NETWORK CORPORATION PAC (ECHOSTAR DISH NETWORK PAC)                                                                                                                    |                    
 ECKEL, GRASON                                                                                                                                                                                        |                    
 ECO/GREEN PARTY                                                                                                                                                                                      |                    
 ECOLAB INC. POLITICAL ACTION COMMITTEE                                                                                                                                                               |                    
 ECOLOGY AND ENVIRONMENT COMMITTEE FOR RESPONSIBLE GOVERNMENT                                                                                                                                         |                    
 ECOMMERCE FREEDOM PAC                                                                                                                                                                                |                    
 ECONOMIC INNOVATION ACTION FUND                                                                                                                                                                      |                    
 ECONOMIC LIBERTY PAC, INC.                                                                                                                                                                           |                    
 ECONOMIC SOLUTIONS VICTORY FUND                                                                                                                                                                      |                    
 ECONOMIC STRATEGY GROUP                                                                                                                                                                              |                    
 E. DAVID SMITH FOR CONGRESS                                                                                                                                                                          |                    
 ED BAKER FOR PRESIDENT                                                                                                                                                                               |                    
 ED BROWN FOR CONGRESS                                                                                                                                                                                |                    
 EDDIE BERNICE JOHNSON FOR CONGRESS                                                                                                                                                                   |                    
 EDDIE FISHER                                                                                                                                                                                         |                    
 EDDIE FOR CONGRESS                                                                                                                                                                                   |                    
 EDDIE MCCAIN FOR CONGRESS                                                                                                                                                                            |                    
 EDDIE ZAMORA FOR CONGRESS                                                                                                                                                                            |              500.00
 EDEN AREA UNITED DEMOCRATIC CAMPAIGN AKA E A U D C                                                                                                                                                   |                    
 EDF RENEWABLE ENERGY PAC                                                                                                                                                                             |                    
 ED GILLESPIE FOR SENATE                                                                                                                                                                              |                    
 EDISON INTERNATIONAL PAC                                                                                                                                                                             |                    
 EDISONLEARNING, INC. POLITICAL ACTION COMMITTEE                                                                                                                                                      |                    
 ED JANY FOR CONGRESS                                                                                                                                                                                 |                    
 ED MACDOUGALL CAMPAIGN                                                                                                                                                                               |                    
 ED MARKSBERRY FOR US SENATE                                                                                                                                                                          |                    
 EDMONDSON FOR CONGRESS                                                                                                                                                                               |                    
 EDPAC                                                                                                                                                                                                |                    
 EDP RENEWABLES NORTH AMERICA LLC PAC (AKA EDPR NA PAC)                                                                                                                                               |                    
 ED REICH FOR CONGRESS                                                                                                                                                                                |                    
 ED SCHMERLING FOR CONGRESS                                                                                                                                                                           |                    
 EDUCATE AND INNOVATE PAC                                                                                                                                                                             |                    
 EDUCATION MANAGEMENT CORPORATION EMPLOYEE PAC (EDMC EDU-PAC)                                                                                                                                         |                    
 EDUCATION MINNESOTA                                                                                                                                                                                  |                    
 EDUCATION & OPPORTUNITY FUND II                                                                                                                                                                      |                    
 EDUCATION VOTERS POLITICAL ACCOUNT                                                                                                                                                                   |                    
 EDVENGERS; THE                                                                                                                                                                                       |                    
 EDWARD JONES PAC                                                                                                                                                                                     |                    
 EDWARD KRYN FOR US SENATE                                                                                                                                                                            |                    
 EDWARDS FOR CONGRESS                                                                                                                                                                                 |                    
 EDWARDS FOR PRESIDENT                                                                                                                                                                                |                    
 EDWARDS LIFESCIENCES POLITICAL ACTION COMMITTEE (EWPAC)                                                                                                                                              |                    
 EDWARDS WILDMAN PAC INC                                                                                                                                                                              |                    
 EDWIN PEACOCK FOR CONGRESS                                                                                                                                                                           |                    
 EFFECTIVE ASSISTANT TO COUNSEL-PAC; THE (LEGAL ASSISTANCE WORKFORCE)                                                                                                                                 |                    
 EFFECTIVE LEADERSHIP ENHANCING COMMUNITIES TODAY - ELECT PAC                                                                                                                                         |                    
 EFFECTIVE LEADERSHIP PAC                                                                                                                                                                             |             2350.00
 EFFICIENT AMERICA PAC                                                                                                                                                                                |                    
 EGGMAN FOR CONGRESS 2014                                                                                                                                                                             |              250.00
 EGGMAN RENTERIA VICTORY FUND                                                                                                                                                                         |                    
 EGGMAN VICTORY FUND                                                                                                                                                                                  |                    
 EGRIU FOR CONGRESS                                                                                                                                                                                   |                    
 EHAB ATALLA FOR CONGRESS                                                                                                                                                                             |                    
 EHEALTH INC. POLITICAL ACTION COMMITTEE (EHEALTH PAC)                                                                                                                                                |                    
 EHRLICH FOR CONGRESS                                                                                                                                                                                 |                    
 EID PASSPORT, INC.                                                                                                                                                                                   |                    
 E.I. DU PONT DE NEMOURS COMPANY GOOD GOVERNMENT FUND (DUPONT GOOD GOVERNMENT FUND)                                                                                                                   |                    
 EIGHTH CONGRESSIONAL DISCTRICT REPUBLICAN COMMITTEE                                                                                                                                                  |                    
 EIGHTH CONGRESSIONAL DISTRICT REPUBLICAN PARTY OF MINNESOTA                                                                                                                                          |                    
 EIGHTH DISTRICT DEMOCRATIC COMMITTEE                                                                                                                                                                 |                    
 EINHORN YAFFE PRESCOTT ARCHITECTURE AND ENGINEERING PC PAC                                                                                                                                           |                    
 EISAI INC. PAC                                                                                                                                                                                       |                    
 ELAINE HAYS FOR CONGRESS                                                                                                                                                                             |                    
 ELAINE HENDERSON FOR CONGRESS DIST 25 TX CAMPAIGN                                                                                                                                                    |                    
 ELAINE WHIGHAM-WILLIAMS FOR PRESIDENT 2016                                                                                                                                                           |                    
 ELBIT SYSTEMS OF AMERICA LLC POLITICAL ACTION COMMITTEE                                                                                                                                              |                    
 ELDER, CHESTER H                                                                                                                                                                                     |                    
 EL DORADO COUNTY DEMOCRATIC CAMPAIGN COALITION                                                                                                                                                       |             1925.00
 EL DORADO COUNTY DEMOCRATIC CENTRAL COMMITTEE                                                                                                                                                        |                    
 EL DORADO COUNTY REPUBLICAN CENTRAL COMMITTEE                                                                                                                                                        |                    
 ELECT ADELA GARZA                                                                                                                                                                                    |                    
 ELECT A NEW CONGRESS                                                                                                                                                                                 |                    
 ELECT APRIL FREEMAN                                                                                                                                                                                  |              750.00
 ELECT BLAKE FARENTHOLD COMMITTEE                                                                                                                                                                     |              250.00
 ELECTBOUF.COM                                                                                                                                                                                        |                    
 ELECT CLARK HALL                                                                                                                                                                                     |                    
 ELECT COMRADE BLUMENTHAL TO CONGRESS                                                                                                                                                                 |                    
 ELECT DAN ELDER                                                                                                                                                                                      |                    
 ELECT DR. MCKELLAR U.S. CONGRESS                                                                                                                                                                     |                    
 ELECT ELAINE MASTROMATTEO                                                                                                                                                                            |                    
 ELECT ERIK BORGSTROM FOR THE US HOUSE OF REPRESENTATIVES                                                                                                                                             |                    
 ELECT ESRATI                                                                                                                                                                                         |                    
 ELECT FAWELL                                                                                                                                                                                         |                    
 ELECT GEORGE ANTHONY LOVENGUTH FLORIDA SENATOR 2010                                                                                                                                                  |                    
 ELECT HANNOSH COMMITTEE                                                                                                                                                                              |                    
 ELECTING WOMEN PAC                                                                                                                                                                                   |                    
 ELECTION EDUCATION GUIDE                                                                                                                                                                             |                    
 ELECTION FUND OF LOUIS D GREENWALD FOR ASSEMBLY                                                                                                                                                      |                    
 ELECTION FUND OF TOM KEAN                                                                                                                                                                            |                    
 ELECTION INFORMATION COMMITTEE                                                                                                                                                                       |                    
 ELECTIONS COMMITTEE OF THE COUNTY OF ORANGE FEDERAL PAC                                                                                                                                              |                    
 ELECT JENNIFER INC                                                                                                                                                                                   |                    
 ELECT JERRY HILL                                                                                                                                                                                     |                    
 ELECT JIM EVANS                                                                                                                                                                                      |                    
 ELECT KATHRYN XIAN                                                                                                                                                                                   |                    
 ELECT MICHAEL WILLIAMSON                                                                                                                                                                             |                    
 ELECT MICHAEL WILLIAMSON                                                                                                                                                                             |                    
 ELECT NOVAK                                                                                                                                                                                          |                    
 ELECT PATRICK KENNEDY                                                                                                                                                                                |                    
 ELECT PAULA INC                                                                                                                                                                                      |                    
 ELECTRICAL CONTRACTORS POLITICAL ACTION COMMITTEE                                                                                                                                                    |                    
 ELECTRICAL WORKERS VOLUNTARY, POL, EDU & LEG FUND IBEW LOCAL UNION NO 1                                                                                                                              |                    
 ELECTRIC EMPLOYEES COMMITTEE OF THE UNITED ILLUMINATING COMPANY                                                                                                                                      |                    
 ELECTRIC POWER ASSOCIATIONS OF MISSISSIPPI ACTION COMMITTEE FOR RURAL ELECTRIFICATION                                                                                                                |                    
 ELECTRIC POWER SUPPLY ASSOCIATION POLITICAL ACTION COMMITTEE                                                                                                                                         |                    
 ELECT ROBERT FOR CONGRESS                                                                                                                                                                            |                    
 ELECTRONIC RETAILING ASSOCIATION (E-RETAIL PAC)                                                                                                                                                      |                    
 ELECTRONIC SECURITY ASSOCIATION, INC. PAC (ESA PAC)                                                                                                                                                  |                    
 ELECTRONIC TRANSACTIONS ASSOCIATION POLITICAL ACTION COMMITTEE                                                                                                                                       |                    
 ELECTROPAC                                                                                                                                                                                           |                    
 ELECTROPAC 728 (INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 728)                                                                                                                           |                    
 ELECT SEAN HAUGH                                                                                                                                                                                     |                    
 ELECT SMILAN FOR CONGRESS                                                                                                                                                                            |                    
 ELECT STEVE HARRISON                                                                                                                                                                                 |                    
 ELECT STEVE MUELLER CAMPAIGN COMMITTEE                                                                                                                                                               |                    
 ELECT - THE PAC OF THE ALABAMA FARMERS FEDERATION                                                                                                                                                    |                    
 ELEKTA HOLDINGS US INC POLITICAL ACTION COMMITTEE ELEKTAPAC                                                                                                                                          |                    
 ELEVENTH CONGRESSIONAL DISTRICT DEMOCRATIC COMMITTEE OF VIRGINIA                                                                                                                                     |                    
 ELEVENTH CONGRESSIONAL DISTRICT OF MICHIGAN DEMOCRATIC PARTY                                                                                                                                         |                    
 ELI LILLY AND COMPANY POLITICAL ACTION COMMITTEE                                                                                                                                                     |                    
 ELISABETH JENSEN FOR CONGRESS                                                                                                                                                                        |                    
 ELISABETH MOTSINGER FOR CONGRESS                                                                                                                                                                     |                    
 ELISE FOR CONGRESS                                                                                                                                                                                   |             3100.00
 ELIZABETH COLBERT BUSCH FOR CONGRESS                                                                                                                                                                 |              650.00
 ELIZABETH COLBERT BUSCH VICTORY FUND                                                                                                                                                                 |              500.00
 ELIZABETH CROWLEY FOR CONGRESS                                                                                                                                                                       |                    
 ELIZABETH DELUDE DIX TELL ANOTHER MOTHER                                                                                                                                                             |                    
 ELIZABETH DOLE  COMMITTEE INC                                                                                                                                                                        |                    
 ELIZABETH EMKEN FOR CONGRESS                                                                                                                                                                         |              450.00
 ELIZABETH EMKEN FOR US SENATE                                                                                                                                                                        |                    
 ELIZABETH FOR MA INC                                                                                                                                                                                 |                    
 ELIZABETH FROTHINGHAM FOR PRESIDENT INC                                                                                                                                                              |                    
 ELIZABETH UELMEN FOR CONGRESS                                                                                                                                                                        |                    
 ELK & ELK PAC                                                                                                                                                                                        |                    
 ELLA WARD FOR CONGRESS                                                                                                                                                                               |                    
 ELLEN D JENKINS                                                                                                                                                                                      |                    
 ELLIOTT FOR CONGRESS                                                                                                                                                                                 |                    
 ELLISON FOR CONGRESS                                                                                                                                                                                 |             5100.00
 ELLISON FOR CONGRESS CAMPAIGN COMMITTEE                                                                                                                                                              |                    
 ELLSWORTH FOR INDIANA                                                                                                                                                                                |                    
 ELMER FUDD FOR GURLEY L MARTIN FOR PRESIDENT                                                                                                                                                         |                    
 ELOISE GOMEZ REYES FOR CONGRESS                                                                                                                                                                      |             2601.00
 ELO PAC-EMERGING LEADERS FOR OREGON PAC                                                                                                                                                              |                    
 ELSIE FOR MONTANA                                                                                                                                                                                    |                    
 EMBLEMHEALTH SERVICES COMPANY LLC FEDERAL PAC (AKA EMBLEMHEALTH PAC)                                                                                                                                 |                    
 EMBRAER AIRCRAFT HOLDING INC POLITICAL ACTION COMMITTEE (EMBRAER PAC)                                                                                                                                |                    
 EM BUSINESS HOLDINGS, INC POLITICAL ACTION COMMITTEE                                                                                                                                                 |                    
 EMC CORPORATION POLITICAL ACTION COMMITTEE                                                                                                                                                           |                    
 EMD SERONO, INC. POLITICAL ACTION COMMITTEE                                                                                                                                                          |                    
 EMERGENCY COMMITTEE FOR ISRAEL                                                                                                                                                                       |                    
 EMERGENCY COMMITTEE FOR ISRAEL                                                                                                                                                                       |                    
 EMERGENCY COMMITTEE FOR ISRAEL PAC                                                                                                                                                                   |                    
 EMERGENCY DEPARTMENT PRACTICE MANAGEMENT ASSOCIATION PAC (EDPMA-PAC)                                                                                                                                 |                    
 EMERGENCY MEDICAL CARE POLITICAL ACTION COMMITTEE                                                                                                                                                    |                    
 EMERGENT BIOSOLUTIONS INC EMPLOYEES PAC                                                                                                                                                              |                    
 EMERGES.COM INC POLITICAL ACTION COMMITTEE AKA EMERGES PAC                                                                                                                                           |                    
 EMERGE USA FEDERAL POLITICAL ACTION COMMITTEE                                                                                                                                                        |                    
 EMERSON ELECTRIC CO. RESPONSIBLE GOVERNMENT FUND                                                                                                                                                     |                    
 EMILY CAIN VICTORY FUND                                                                                                                                                                              |                    
 EMILY'S LIST                                                                                                                                                                                         |             2500.00
 EMILY'S LIST NON-FEDERAL                                                                                                                                                                             |                    
 EMIN EDDIE EGRIU FOR CHANGE                                                                                                                                                                          |                    
 EMKEN 2012 VICTORY COMMITTEE                                                                                                                                                                         |                    
 EMMER FOR CONGRESS                                                                                                                                                                                   |             1750.00
 EMMET COUNTY DEMOCRATIC COMMITTEE                                                                                                                                                                    |                    
 EMMIE ROSS FOR CONGRESS                                                                                                                                                                              |                    
 EMPIRE DISTRICT ELECTRIC COMPANY POLITICAL ACTION COMMITTEE                                                                                                                                          |                    
 EMPIRE POLITICAL ACTION COMMITTEE                                                                                                                                                                    |             2500.00
 EMPIRE STRIKES PAC; THE                                                                                                                                                                              |                    
 EMPLOYEE--OWNED S CORPORATIONS OF AMERICA PAC (ESCA PAC)                                                                                                                                             |                    
 EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC                                                                                                                                                        |                    
 EMPLOYERS MUTUAL CASUALTY COMPANY COMMITTEE FOR RESPONSIBLE FEDERAL GOVERNMENT                                                                                                                       |                    
 EMPOWER - A GREAT WEST POLITICAL ACTION COMMITTEE                                                                                                                                                    |                    
 EMPOWER CENTRAL VALLEY                                                                                                                                                                               |                    
 EMPOWER CITIZENS NETWORK                                                                                                                                                                             |                    
 EMPOWERING EACH COMMUNITY PAC                                                                                                                                                                        |                    
 EMPOWER IOWA                                                                                                                                                                                         |                    
 EMPOWERMENT PAC INC, THE                                                                                                                                                                             |                    
 EMPOWER MINNESOTA                                                                                                                                                                                    |             5250.00
 EMPOWER NEBRASKA                                                                                                                                                                                     |            65000.00
 EMPOWER WISCONSIN                                                                                                                                                                                    |                    
 EMP PAC                                                                                                                                                                                              |                    
 ENCANA OIL & GAS (USA) INC. PAC                                                                                                                                                                      |                    
 ENCORE CAPITAL GROUP, INC. POLITICAL ACTION COMMITTEE                                                                                                                                                |                    
 ENDING SPENDING ACTION FUND                                                                                                                                                                          |          3641979.00
 ENDING SPENDING INC                                                                                                                                                                                  |                    
 ENDING SPENDING INC.                                                                                                                                                                                 |                    
 ENDO PHARMACEUTICALS INC POLITICAL ACTION COMMITTEE (ENDO PAC)                                                                                                                                       |                    
 ENDORSE LIBERTY, INC                                                                                                                                                                                 |                    
